,hexagon_id,connections_points,normalized_score
792,871eb0b99ffffff,,
793,871eb2bacffffff,,
794,871eb06a0ffffff,,
795,871eb2b48ffffff,,
796,871eb3d9cffffff,,
797,871eb0392ffffff,,
798,871eb0084ffffff,,
799,871eb221effffff,,
800,871eb22abffffff,,
801,871eb3994ffffff,,
802,871eb3ca2ffffff,,
803,871eb072dffffff,,
804,871eb2a4effffff,,
805,871eb3c15ffffff,,
806,871eb0519ffffff,,
807,871eb2341ffffff,,
808,871eb2ae4ffffff,,
809,871eb0451ffffff,,
810,871eb2a80ffffff,,
811,871eb22ddffffff,,
812,871eb2a1cffffff,,
813,871eb0574ffffff,1.0,0.0
814,871eb2ba3ffffff,,
815,871eb3d93ffffff,,
816,871eb2215ffffff,,
817,871eb239cffffff,,
818,871eb0633ffffff,,
819,871eb2adbffffff,,
820,871eb019effffff,1.0,0.0
821,871eb04acffffff,,
822,871eb0448ffffff,,
823,871eb0756ffffff,,
824,871eb22d4ffffff,,
825,871eb06f2ffffff,,
826,871eb00d6ffffff,,
827,871eb2270ffffff,,
828,871eb056bffffff,,
829,871eb2a13ffffff,,
830,871eb068effffff,,
831,871eb220cffffff,,
832,871eb0483ffffff,,
833,871eb060affffff,,
834,871eb3d06ffffff,,
835,871eb0791ffffff,,
836,871eb3d8affffff,,
837,871eb0380ffffff,,
838,871eb2b36ffffff,,
839,871eb07b1ffffff,,
840,871eb3d26ffffff,,
841,871eb062affffff,,
842,871eb2ad2ffffff,,
843,871eb000effffff,,
844,871eb2a6effffff,,
845,871eb074dffffff,,
846,871eb39b4ffffff,,
847,871eb2a0affffff,,
848,871eb00cdffffff,,
849,871eb06e9ffffff,,
850,871eb0562ffffff,,
851,871eb2b91ffffff,,
852,871eb0685ffffff,,
853,871eb2b2dffffff,,
854,871eb3d81ffffff,,
855,871eb2203ffffff,,
856,871eb238affffff,,
857,871eb0069ffffff,,
858,871eb07a8ffffff,,
859,871eb2ac9ffffff,,
860,871eb0621ffffff,,
861,871eb2326ffffff,,
862,871eb3d1dffffff,,
863,871eb049affffff,,
864,871eb0052ffffff,,
865,871eb2373ffffff,,
866,871eb0ab6ffffff,,
867,871eb0005ffffff,,
868,871eb2a65ffffff,,
869,871eb0744ffffff,,
870,871eb22c2ffffff,,
871,871eb0436ffffff,,
872,871eb2a01ffffff,,
873,871eb06e0ffffff,,
874,871eb0559ffffff,,
875,871eb00c4ffffff,,
876,871eb225effffff,,
877,871eb2b88ffffff,,
878,871eb04f5ffffff,,
879,871eb2b24ffffff,,
880,871eb2381ffffff,,
881,871eb0618ffffff,,
882,871eb2ac0ffffff,,
883,871eb3d14ffffff,,
884,871eb0491ffffff,,
885,871eb231dffffff,,
886,871eb2a5cffffff,,
887,871eb042dffffff,,
888,871eb3cb0ffffff,,
889,871eb0550ffffff,,
890,871eb2255ffffff,,
891,871eb04ecffffff,,
892,871eb0673ffffff,,
893,871eb2b1bffffff,,
894,871eb0796ffffff,,
895,871eb0488ffffff,,
896,871eb286cffffff,,
897,871eb00b6ffffff,,
898,871eb2250ffffff,,
899,871eb054bffffff,,
900,871eb06d2ffffff,,
901,871eb3d0bffffff,,
902,871eb0aa4ffffff,,
903,871eb2314ffffff,,
904,871eb0732ffffff,,
905,871eb2a53ffffff,,
906,871eb0424ffffff,,
907,871eb05abffffff,,
908,871eb2b76ffffff,,
909,871eb00b2ffffff,,
910,871eb06ceffffff,,
911,871eb224cffffff,,
912,871eb2868ffffff,,
