hexagon_id,latency_ms,normalized_score
871eb0601ffffff,,
871eb0788ffffff,,
871eb04e2ffffff,,
871eb3d65ffffff,,
871eb004dffffff,65.0,0.35
871eb2b11ffffff,,
871eb078cffffff,56.0,0.44
871eb0605ffffff,,
871eb3d01ffffff,,
871eb2aadffffff,,
871eb230affffff,,
871eb0a9affffff,29.0,0.71
871eb0728ffffff,,
871eb2a49ffffff,,
871eb041affffff,,
871eb3c9dffffff,,
871eb22a6ffffff,,
871e9492cffffff,58.0,0.42
871eb2b6cffffff,,
871eb06c4ffffff,,
871eb03b6ffffff,33.0,0.67
871eb00a8ffffff,,
871eb2242ffffff,,
871eb2365ffffff,,
871eb04d9ffffff,,
871eb2b08ffffff,,
871eb0660ffffff,,
871eb0783ffffff,,
871eb0475ffffff,,
871eb0665ffffff,,
871eb3d61ffffff,,
871eb2b0dffffff,,
871eb04deffffff,,
871eb236affffff,,
871eb2301ffffff,,
871eb0a91ffffff,,
871eb2aa4ffffff,51.5,0.485
871eb2a40ffffff,,
871eb3c94ffffff,,
871eb0411ffffff,,
871eb2b63ffffff,,
871eb3c30ffffff,57.0,0.43
871eb235cffffff,,
871eb04d0ffffff,,
871eb046cffffff,,
871eb2a9bffffff,,
871eb0716ffffff,,
871eb0408ffffff,,
871eb06b2ffffff,,
871eb2b5affffff,,
871eb0096ffffff,,
871eb3daeffffff,,
871eb2230ffffff,48.5,0.515
871eb03a4ffffff,31.272727272727273,0.6872727272727271
871eb2353ffffff,,
871eb2af6ffffff,,
871eb2045ffffff,,
871eb0463ffffff,,
871eb0771ffffff,,
871eb2a92ffffff,25.0,0.75
871e94975ffffff,,
871eb06c9ffffff,,
871eb0542ffffff,,
871eb00adffffff,,
871eb2b71ffffff,,
871eb070dffffff,,
871eb2a2effffff,,
871eb00f1ffffff,,
871eb3c82ffffff,,
871eb06a9ffffff,52.5,0.475
871eb2b51ffffff,,
871eb3da5ffffff,,
871eb008dffffff,,
871eb039bffffff,,
871eb23aeffffff,,
871eb2aedffffff,,
871eb234affffff,,
871eb0645ffffff,30.0,0.7
871eb045affffff,,
871eb2a89ffffff,,
871eb0768ffffff,,
871eb22e6ffffff,,
871eb0704ffffff,,
871eb2a25ffffff,,
871eb00e8ffffff,,
871eb0b99ffffff,20.0,0.8
871eb2bacffffff,,
871eb06a0ffffff,,
871eb2b48ffffff,,
871eb3d9cffffff,,
871eb0392ffffff,,
871eb0084ffffff,,
871eb221effffff,,
871eb22abffffff,,
871eb3994ffffff,,
871eb3ca2ffffff,,
871eb072dffffff,,
871eb2a4effffff,,
871eb3c15ffffff,45.333333333333336,0.5466666666666666
871eb0519ffffff,,
871eb2341ffffff,,
871eb2ae4ffffff,,
871eb0451ffffff,,
871eb2a80ffffff,,
871eb22ddffffff,,
871eb2a1cffffff,,
871eb0574ffffff,37.25,0.6275
871eb2ba3ffffff,35.0,0.65
871eb3d93ffffff,,
871eb2215ffffff,,
871eb239cffffff,,
871eb0633ffffff,,
871eb2adbffffff,,
871eb019effffff,33.0,0.67
871eb04acffffff,26.0,0.74
871eb0448ffffff,,
871eb0756ffffff,,
871eb22d4ffffff,,
871eb06f2ffffff,,
871eb00d6ffffff,,
871eb2270ffffff,,
871eb056bffffff,,
871eb2a13ffffff,,
871eb068effffff,,
871eb220cffffff,,
871eb0483ffffff,,
871eb060affffff,,
871eb3d06ffffff,,
871eb0791ffffff,,
871eb3d8affffff,,
871eb0380ffffff,,
871eb2b36ffffff,,
871eb07b1ffffff,48.0,0.52
871eb3d26ffffff,,
871eb062affffff,,
871eb2ad2ffffff,,
871eb000effffff,,
871eb2a6effffff,,
871eb074dffffff,,
871eb39b4ffffff,,
871eb2a0affffff,,
871eb00cdffffff,,
871eb06e9ffffff,,
871eb0562ffffff,,
871eb2b91ffffff,,
871eb0685ffffff,,
871eb2b2dffffff,,
871eb3d81ffffff,,
871eb2203ffffff,,
871eb238affffff,,
871eb0069ffffff,,
871eb07a8ffffff,,
871eb2ac9ffffff,,
871eb0621ffffff,,
871eb2326ffffff,,
871eb3d1dffffff,33.666666666666664,0.6633333333333334
871eb049affffff,,
871eb0052ffffff,,
871eb2373ffffff,,
871eb0ab6ffffff,,
871eb0005ffffff,,
871eb2a65ffffff,,
871eb0744ffffff,,
871eb22c2ffffff,,
871eb0436ffffff,,
871eb2a01ffffff,,
871eb06e0ffffff,,
871eb0559ffffff,,
871eb00c4ffffff,,
871eb225effffff,,
871eb2b88ffffff,48.0,0.52
871eb04f5ffffff,,
871eb2b24ffffff,,
871eb2381ffffff,,
871eb0618ffffff,,
871eb2ac0ffffff,57.0,0.43
871eb3d14ffffff,,
871eb0491ffffff,,
871eb231dffffff,,
871eb2a5cffffff,,
871eb042dffffff,,
871eb3cb0ffffff,,
871eb0550ffffff,,
871eb2255ffffff,,
871eb04ecffffff,,
871eb0673ffffff,,
871eb2b1bffffff,46.0,0.54
871eb0796ffffff,,
871eb0488ffffff,,
871eb286cffffff,51.0,0.49
871eb00b6ffffff,,
871eb2250ffffff,36.0,0.64
871eb054bffffff,,
871eb06d2ffffff,,
871eb3d0bffffff,28.5,0.715
871eb0aa4ffffff,,
871eb2314ffffff,58.0,0.42
871eb0732ffffff,,
871eb2a53ffffff,,
871eb0424ffffff,,
871eb05abffffff,,
871eb2b76ffffff,,
871eb00b2ffffff,,
871eb06ceffffff,,
871eb224cffffff,,
871eb2868ffffff,,
871eb04e3ffffff,,
871eb3d66ffffff,,
871eb004effffff,,
871eb2061ffffff,67.0,0.33
871eb078dffffff,48.25,0.5175
871eb0606ffffff,,
871eb3d02ffffff,,
871eb230bffffff,,
871eb0a9bffffff,,
871eb2aaeffffff,51.0,0.49
871eb2a4affffff,,
871eb0729ffffff,,
871eb041bffffff,,
871eb3c9effffff,,
871eb0294ffffff,33.0,0.67
871eb0428ffffff,,
871eb0736ffffff,,
871e9492dffffff,50.0,0.5
871eb2b6dffffff,,
871eb06c5ffffff,,
871eb00a9ffffff,,
871eb2243ffffff,29.5,0.705
871eb2366ffffff,,
871eb04daffffff,,
871eb2b09ffffff,,
871eb0661ffffff,,
871eb0045ffffff,,
871eb0784ffffff,,
871eb0476ffffff,,
871eb0a92ffffff,,
871eb2aa5ffffff,21.0,0.79
871eb2302ffffff,39.0,0.61
871eb2a41ffffff,,
871eb0720ffffff,,
871eb3c95ffffff,,
871eb0412ffffff,,
871eb2b64ffffff,,
871eb3c31ffffff,35.666666666666664,0.6433333333333334
871eb00a0ffffff,,
871eb235dffffff,,
871eb04d1ffffff,,
871eb2b00ffffff,,
871eb3d54ffffff,,
871eb0658ffffff,,
871eb046dffffff,,
871eb2a9cffffff,,
871eb0409ffffff,,
871eb2318ffffff,,
871eb048cffffff,67.0,0.33
871eb0613ffffff,,
871eb079affffff,,
871eb06b3ffffff,,
871eb2b5bffffff,,
871eb2231ffffff,,
871eb284dffffff,,
871eb04c8ffffff,,
871eb2354ffffff,,
871eb0033ffffff,,
871eb0772ffffff,,
871eb0464ffffff,,
871eb0a80ffffff,,
871eb2a93ffffff,,
871eb22f0ffffff,56.0,0.44
871e94976ffffff,,
871eb070effffff,,
871eb00f2ffffff,,
871eb0400ffffff,,
871eb3c83ffffff,,
871eb228cffffff,,
871eb06aaffffff,47.0,0.53
871eb3da6ffffff,,
871eb2228ffffff,51.0,0.49
871eb2b52ffffff,,
871eb008effffff,,
871eb039cffffff,,
871eb2aeeffffff,,
871eb234bffffff,,
871eb0646ffffff,24.0,0.76
871eb002affffff,,
871eb206effffff,,
871eb3d73ffffff,,
871eb005bffffff,,
871eb04f0ffffff,,
871eb045bffffff,66.5,0.335
871eb2a8affffff,,
871eb0769ffffff,36.0,0.64
871eb0705ffffff,,
871eb00e9ffffff,19.0,0.81
871eb2a26ffffff,,
871eb2badffffff,,
871eb2b49ffffff,,
871eb06a1ffffff,,
871eb3d9dffffff,,
871eb0393ffffff,34.0,0.66
871eb0085ffffff,,
871eb3c16ffffff,,
871eb2ae5ffffff,,
871eb2342ffffff,,
871eb0452ffffff,,
871eb0760ffffff,,
871eb2a81ffffff,,
871eb22deffffff,39.0,0.61
871eb2a1dffffff,,
871eb00e0ffffff,,
871eb0698ffffff,60.0,0.4
871eb2b40ffffff,,
871eb3d94ffffff,,
871eb2216ffffff,,
871eb239dffffff,,
871eb0634ffffff,,
871eb3d30ffffff,,
871eb2259ffffff,,
871eb2b83ffffff,,
871eb0554ffffff,,
871eb06dbffffff,97.0,0.03
871eb2adcffffff,,
871eb0018ffffff,,
871eb04adffffff,,
871eb0449ffffff,,
871eb22d5ffffff,,
871eb06f3ffffff,,
871eb2271ffffff,,
871eb2a14ffffff,,
871eb0b88ffffff,,
871eb056cffffff,,
871eb220dffffff,,
871eb3d8bffffff,,
871eb0508ffffff,,
871eb07b2ffffff,,
871eb062bffffff,,
871eb2ad3ffffff,,
871eb2330ffffff,,
871eb04a4ffffff,,
871eb0440ffffff,,
871eb074effffff,,
871eb22ccffffff,,
871eb2a0bffffff,,
871eb00ceffffff,,
871eb06eaffffff,,
871eb2268ffffff,,
871eb0563ffffff,37.0,0.63
871eb2b92ffffff,,
871eb0686ffffff,,
871eb0431ffffff,,
871eb3cb4ffffff,,
871eb2a60ffffff,,
871eb3d82ffffff,,
871eb2b2effffff,,
871eb2204ffffff,,
871eb006affffff,,
